Matrícula	Tempo	Velocidade Média	Endereço	Data da Ocorrencia	Inicio e Fim da Ocorrencia	Nome Linha	Veículo
26035	20	84	Rodovia Luiz Gonzaga 73, Sairé - Pernambuco, 55695-000, Brasil	28/02/2026	Início: 04:48, Fim: 05:08	RECIFE(PE) - BODOCÓ(PE) via Exu	6325
26060	20	84	Rua Severino Eloi de Brito, Sertânia - Pernambuco, Brasil	07/02/2026	Início: 00:07, Fim: 00:27	RECIFE(PE) - TRIUNFO(PE) via Santa Cruz da Baixa Verde	6068
26060	30	84	Fazenda Tamboril 41, Arcoverde - Pernambuco, 56518-899, Brasil	07/02/2026	Início: 01:41, Fim: 02:11	RECIFE(PE) - TRIUNFO(PE) via Santa Cruz da Baixa Verde	6068
26060	10	84	Rodovia BR-232, Sanharó - Pernambuco, Brasil	07/02/2026	Início: 02:27, Fim: 02:37	RECIFE(PE) - TRIUNFO(PE) via Santa Cruz da Baixa Verde	6068
26060	8	84	Pe-275, Sertânia - Pernambuco, 56840-000, Brasil	13/02/2026	Início: 02:35, Fim: 02:43	RECIFE(PE) - TRIUNFO(PE) via Santa Cruz da Baixa Verde	6269
26094	5	84	Pe-218, Brejão - Pernambuco, Brasil	01/02/2026	Início: 00:52, Fim: 00:57	PENEDO(AL) - RECIFE(PE)	6149
26094	5	84	Rua Francisco Ferreira Gondim, Penedo - Alagoas, Brasil	06/02/2026	Início: 21:17, Fim: 21:22	PENEDO(AL) - RECIFE(PE)	6044
26094	7	84	Rodovia Hélio Nogueira Lopes, São Sebastião - Alagoas, Brasil	06/02/2026	Início: 21:42, Fim: 21:49	PENEDO(AL) - RECIFE(PE)	6044
26094	5	84	Rodovia Empresário Eduardo Alves da Silva 8, Craíbas - Alagoas, Brasil	06/02/2026	Início: 23:26, Fim: 23:31	PENEDO(AL) - RECIFE(PE)	6044
26094	6	84	Pe-218, Bom Conselho - Pernambuco, Brasil	07/02/2026	Início: 00:47, Fim: 00:53	PENEDO(AL) - RECIFE(PE)	6044
26094	6	84	Pe-218, Bom Conselho - Pernambuco, Brasil	13/02/2026	Início: 00:50, Fim: 00:56	PENEDO(AL) - RECIFE(PE)	6097
26094	16	84	Br 423 - Rodovia Mestre Domiguinhos, São Caetano - Pernambuco, 55130-000, Brasil	13/02/2026	Início: 03:03, Fim: 03:19	PENEDO(AL) - RECIFE(PE)	6097
26094	6	84	Inajá, Pernambuco, Brasil	15/02/2026	Início: 05:10, Fim: 05:16	RECIFE(PE) - PETROLÂNDIA(PE) via Garanhuns (NOTURNO)	6017
26094	9	84	Rodovia PE 375 (Inajá - Caraibeiras), Tacaratu - Pernambuco, Brasil	15/02/2026	Início: 05:50, Fim: 05:59	RECIFE(PE) - PETROLÂNDIA(PE) via Garanhuns (NOTURNO)	6017
26094	9	84	Rodovia Mestre Domiguinhos, Jupi - Pernambuco, Brasil	18/02/2026	Início: 01:38, Fim: 01:47	PENEDO(AL) - RECIFE(PE)	6079
26094	12	84	Rodovia Empresário Eduardo Alves da Silva 17, Igaci - Alagoas, Brasil	18/02/2026	Início: 04:16, Fim: 04:28	PENEDO(AL) - RECIFE(PE)	6079
24582	10	84	Br-135 2, Itapecuru-Mirim - Maranhão, 65485-000, Brasil	03/02/2026	Início: 20:44, Fim: 20:54	SÃO LUIS(MA) - ESTREITO(MA) via GRAJAÚ(MA)	6264
24582	13	84	Rodovia BR-135, Capinzal do Norte - Maranhão, Brasil	05/02/2026	Início: 01:12, Fim: 01:25	SÃO LUIS(MA) - ESTREITO(MA) via GRAJAÚ(MA)	6344
24582	7	84	Rodovia BR-135, Peritoró - Maranhão, Brasil	05/02/2026	Início: 01:28, Fim: 01:35	SÃO LUIS(MA) - ESTREITO(MA) via GRAJAÚ(MA)	6344
24582	7	84	Br-135, Matões do Norte - Maranhão, Brasil	05/02/2026	Início: 02:29, Fim: 02:36	SÃO LUIS(MA) - ESTREITO(MA) via GRAJAÚ(MA)	6344
24582	16	84	Br-135 2001, Miranda do Norte - Maranhão, 65495-000, Brasil	05/02/2026	Início: 02:57, Fim: 03:13	SÃO LUIS(MA) - ESTREITO(MA) via GRAJAÚ(MA)	6344
24582	16	84	Sítio Novo, Maranhão, Brasil	10/02/2026	Início: 19:39, Fim: 19:55	SÃO LUIS(MA) - ESTREITO(MA) via GRAJAÚ(MA)	6205
24582	32	84	Rodovia BR-226, Grajaú - Maranhão, Brasil	10/02/2026	Início: 21:04, Fim: 21:36	SÃO LUIS(MA) - ESTREITO(MA) via GRAJAÚ(MA)	6205
24582	7	84	Rodovia BR 135 1, Presidente Dutra - Maranhão, 65760-000, Brasil	11/02/2026	Início: 00:21, Fim: 00:28	SÃO LUIS(MA) - ESTREITO(MA) via GRAJAÚ(MA)	6205
24582	20	84	Br-135, Santo Antônio dos Lopes - Maranhão, Brasil	17/02/2026	Início: 02:53, Fim: 03:13	SÃO LUIS(MA) - BALSAS(MA)	6235
24582	9	84	Br-135, Matões do Norte - Maranhão, Brasil	28/02/2026	Início: 04:51, Fim: 05:00	SÃO LUIS(MA) - BALSAS(MA)	6195
24582	6	84	Br-135 10, Matões do Norte - Maranhão, 65468-000, Brasil	28/02/2026	Início: 05:18, Fim: 05:24	SÃO LUIS(MA) - BALSAS(MA)	6195
25871	20	84	Br-135, Matões do Norte - Maranhão, Brasil	03/02/2026	Início: 05:00, Fim: 05:20	SÃO LUIS(MA) - BALSAS(MA)	6264
25871	6	84	Br-222, Açailândia - Maranhão, Brasil	12/02/2026	Início: 21:37, Fim: 21:43	SÃO LUIS(MA) - IMPERATRIZ(MA)	6264
25871	8	84	Rodovia BR-222, Pindaré-Mirim - Maranhão, Brasil	13/02/2026	Início: 02:01, Fim: 02:09	SÃO LUIS(MA) - IMPERATRIZ(MA)	6264
26059	18	84	Rodovia BR-135, Peritoró - Maranhão, Brasil	02/02/2026	Início: 03:41, Fim: 03:59	SÃO LUIS(MA) - BALSAS(MA)	6175
26059	16	84	Br-222, Monção - Maranhão, Brasil	06/02/2026	Início: 02:51, Fim: 03:07	SÃO LUIS(MA) - IMPERATRIZ(MA)	6304
26059	6	84	Br-135, Matões do Norte - Maranhão, Brasil	14/02/2026	Início: 03:40, Fim: 03:46	SÃO LUIS(MA) - ESTREITO(MA) via GRAJAÚ(MA)	6314
26059	24	84	Br-135 139, Itapecuru-Mirim - Maranhão, 65485-000, Brasil	28/02/2026	Início: 03:32, Fim: 03:56	SÃO LUIS(MA) - ESTREITO(MA) via GRAJAÚ(MA)	6285
26066	9	84	Br-222, Santa Luzia - Maranhão, Brasil	03/02/2026	Início: 00:16, Fim: 00:25	SÃO LUIS(MA) - IMPERATRIZ(MA)	6314
25448	19	84	Geminiano, Piauí, Brasil	24/02/2026	Início: 10:19, Fim: 10:38	SÃO LUIS X NATAL (THE X JDO)	6089
25448	26	84	Br-316, Elesbão Veloso - Piauí, Brasil	26/02/2026	Início: 10:48, Fim: 11:14	SÃO LUIS(MA) X RECIFE(PE) ( SLZ X THE ) IN	6285
25448	6	84	Monsenhor Gil, Piauí, Brasil	26/02/2026	Início: 11:52, Fim: 11:58	SÃO LUIS(MA) X RECIFE(PE) ( SLZ X THE ) IN	6285
25448	12	84	Br-135 118, Peritoró - Maranhão, 65418-000, Brasil	26/02/2026	Início: 17:13, Fim: 17:25	SÃO LUIS(MA) X RECIFE(PE) ( SLZ X THE ) IN	6285
25448	17	84	Br-135, Matões do Norte - Maranhão, Brasil	26/02/2026	Início: 17:55, Fim: 18:12	SÃO LUIS(MA) X RECIFE(PE) ( SLZ X THE ) IN	6285
25869	18	84	Avenida Prefeito Wall Ferraz 15980, Esplanada, Teresina - Piauí, 64040-840, Brasil	06/02/2026	Início: 10:21, Fim: 10:39	SÃO LUIS(MA) X RECIFE(PE) ( THE X ARRP )	6325
26068	20	84	Br-316 2139504, Francisco Macedo - Piauí, 64683-000, Brasil	06/02/2026	Início: 07:54, Fim: 08:14	RECIFE(PE) - TERESINA(PI)	6057
26097	8	84	Br-316 26, Trindade - Pernambuco, Brasil	05/02/2026	Início: 06:02, Fim: 06:10	RECIFE(PE) - ARARIPINA(PE) (TFD)	6168
26097	9	84	Rodovia BR-232, Mirandiba - Pernambuco, Brasil	19/02/2026	Início: 04:28, Fim: 04:37	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6099
26097	6	84	Rodovia Br-232, Flores - Pernambuco, 56640-000, Brasil	24/02/2026	Início: 02:12, Fim: 02:18	RECIFE(PE) - PICOS(PE)	6039
26097	19	84	Rodovia BR-232, Parnamirim - Pernambuco, Brasil	24/02/2026	Início: 05:56, Fim: 06:15	RECIFE(PE) - PICOS(PE)	6039
26097	10	84	Sitio Caicara 258, Arcoverde - Pernambuco, 56518-899, Brasil	28/02/2026	Início: 00:29, Fim: 00:39	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6079
26125	10	84	Pe-430, São José do Belmonte - Pernambuco, Brasil	28/02/2026	Início: 22:11, Fim: 22:21	CRATO(CE) - RECIFE(PE)	6063
26126	9	84	Rodovia Governador Antônio Mariz 7, Santa Luzia - Paraíba, 58600-000, Brasil	07/02/2026	Início: 00:34, Fim: 00:43	IGUATU(CE) - RECIFE(PE)	6215
26126	5	84	Transamazônica, Cajazeiras - Paraíba, Brasil	12/02/2026	Início: 19:49, Fim: 19:54	IGUATU(CE) - RECIFE(PE)	6255
26131	5	84	PE-060, Rio Formoso - Pernambuco, Brasil	07/02/2026	Início: 11:56, Fim: 12:01	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	6224
26131	6	84	Rodovia Armínio Guilherme Dos Santos, Sirinhaém - Pernambuco, 55580-000, Brasil	10/02/2026	Início: 07:39, Fim: 07:45	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	6124
26131	7	84	Rodovia Pe-060, Rosário, Cabo de Santo Agostinho - Pernambuco, Brasil	10/02/2026	Início: 12:04, Fim: 12:11	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	6124
26131	9	84	Rodovia Armínio Guilherme Dos Santos, Sirinhaém - Pernambuco, 55580-000, Brasil	10/02/2026	Início: 12:36, Fim: 12:45	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	6124
26131	8	84	PE-060 1, Tamandaré - Pernambuco, 55578-000, Brasil	11/02/2026	Início: 13:33, Fim: 13:41	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	2222
26131	8	84	Rodovia Governador Mário Covas Jaboatão dos Guararapes - Pernambuco, 54460, Brasil	11/02/2026	Início: 15:29, Fim: 15:37	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	2222
26131	5	84	PE-060, Tamandaré - Pernambuco, Brasil	20/02/2026	Início: 17:46, Fim: 17:51	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	2232
26133	21	84	Rodovia BR-232, Serra Talhada - Pernambuco, Brasil	22/02/2026	Início: 03:57, Fim: 04:18	RECIFE(PE) - SALGUEIRO(PE) (NOTURNO)	6325
26133	16	84	Rodovia BR-232, Verdejante - Pernambuco, Brasil	22/02/2026	Início: 04:56, Fim: 05:12	RECIFE(PE) - SALGUEIRO(PE) (NOTURNO)	6325
26134	7	84	Rodovia Armínio Guilherme Dos Santos 1317, Sirinhaém - Pernambuco, 55580-000, Brasil	05/02/2026	Início: 08:31, Fim: 08:38	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	2262
26134	18	84	Pe-060 Ipojuca - Pernambuco, Brasil	09/02/2026	Início: 07:35, Fim: 07:53	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	6124
26134	5	84	Rodovia Pe-060 Ipojuca - Pernambuco, Brasil	16/02/2026	Início: 15:35, Fim: 15:40	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	2222
26134	9	84	Rodovia Governador Mário Covas, Muribeca, Jaboatão dos Guararapes - Pernambuco, 54345, Brasil	16/02/2026	Início: 18:43, Fim: 18:52	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	2212
26134	6	84	Rodovia Pe-060 Cabo de Santo Agostinho - Pernambuco, Brasil	20/02/2026	Início: 07:04, Fim: 07:10	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	2212
26134	7	84	Rodovia Pe-060, Rosário, Cabo de Santo Agostinho - Pernambuco, Brasil	20/02/2026	Início: 10:23, Fim: 10:30	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	2212
26164	40	84	Rodovia BR-428, Lagoa Grande - Pernambuco, Brasil	02/02/2026	Início: 07:15, Fim: 07:55	RECIFE(PE) - PETROLINA(PE) via Salgueiro (PINGA)	6059
26164	16	84	Rodovia BR-428, Cabrobó - Pernambuco, Brasil	02/02/2026	Início: 08:35, Fim: 08:51	RECIFE(PE) - PETROLINA(PE) via Salgueiro (PINGA)	6059
26164	16	84	Rodovia BR-232, Flores - Pernambuco, Brasil	02/02/2026	Início: 13:20, Fim: 13:36	RECIFE(PE) - PETROLINA(PE) via Salgueiro (PINGA)	6059
26164	7	84	Estrada Piuta Para Algodoes 23633, Sertânia - Pernambuco, 56600-000, Brasil	04/02/2026	Início: 14:02, Fim: 14:09	RECIFE(PE) - ARARIPINA(PE) (PINGA)	6059
26164	17	84	Rodovia BR-232, Flores - Pernambuco, Brasil	04/02/2026	Início: 15:00, Fim: 15:17	RECIFE(PE) - ARARIPINA(PE) (PINGA)	6059
26164	29	84	Rodovia BR-232 2, São José do Belmonte - Pernambuco, 56950-000, Brasil	05/02/2026	Início: 11:20, Fim: 11:49	RECIFE(PE) - ARARIPINA(PE) (PINGA)	6059
26164	11	84	Rodovia Br-232, Serra Talhada - Pernambuco, 56930-000, Brasil	05/02/2026	Início: 12:44, Fim: 12:55	RECIFE(PE) - ARARIPINA(PE) (PINGA)	6059
26164	10	84	Rodovia Br-232, Serra Talhada - Pernambuco, 56907-090, Brasil	07/02/2026	Início: 13:41, Fim: 13:51	RECIFE(PE) - PETROLINA(PE) via Salgueiro (PINGA)	6027
26164	8	84	Rodovia BR-232, Serra Talhada - Pernambuco, Brasil	10/02/2026	Início: 15:35, Fim: 15:43	RECIFE(PE) - ARARIPINA(PE) (PINGA)	6149
26164	6	84	Br-316 440, Ouricuri - Pernambuco, 56200-000, Brasil	10/02/2026	Início: 20:13, Fim: 20:19	RECIFE(PE) - ARARIPINA(PE) (PINGA)	6149
26164	14	84	Br-316, Trindade - Pernambuco, Brasil	10/02/2026	Início: 20:43, Fim: 20:57	RECIFE(PE) - ARARIPINA(PE) (PINGA)	6149
26164	7	84	Br-316, Ouricuri - Pernambuco, Brasil	11/02/2026	Início: 08:00, Fim: 08:07	RECIFE(PE) - ARARIPINA(PE) (PINGA)	6149
26164	12	84	Varzinha, Serra Talhada, Pernambuco, Brasil	11/02/2026	Início: 12:24, Fim: 12:36	RECIFE(PE) - ARARIPINA(PE) (PINGA)	6149
26164	17	84	Rodovia BR-232, Custódia - Pernambuco, Brasil	11/02/2026	Início: 13:03, Fim: 13:20	RECIFE(PE) - ARARIPINA(PE) (PINGA)	6149
26164	12	84	Rodovia BR-232, São José do Belmonte - Pernambuco, Brasil	17/02/2026	Início: 11:01, Fim: 11:13	RECIFE(PE) - ARARIPINA(PE) (PINGA)	6199
26164	8	84	Rodovia BR-232, Verdejante - Pernambuco, Brasil	19/02/2026	Início: 16:02, Fim: 16:10	RECIFE(PE) - PETROLINA(PE) via Salgueiro (PINGA)	6129
26171	16	84	Rodovia BR-232, Pesqueira - Pernambuco, Brasil	01/02/2026	Início: 23:06, Fim: 23:22	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6285
26171	17	84	Rodovia Governador Mário Covas, Itapissuma - Pernambuco, Brasil	05/02/2026	Início: 06:34, Fim: 06:51	RECIFE(PE) - NATAL(RN)	6294
26171	6	84	Rodovia Governador Mário Covas, Conde - Paraíba, Brasil	05/02/2026	Início: 07:23, Fim: 07:29	RECIFE(PE) - NATAL(RN)	6294
26171	8	84	Rodovia Governador Mário Covas, Mamanguape - Paraíba, Brasil	05/02/2026	Início: 08:10, Fim: 08:18	RECIFE(PE) - NATAL(RN)	6294
26171	20	84	Marginal BR-101, Alhandra - Paraíba, Brasil	06/02/2026	Início: 17:05, Fim: 17:25	RECIFE(PE) - NATAL(RN)	6147
26171	8	84	Rodovia Governador Mário Covas, Arez - Rio Grande do Norte, Brasil	09/02/2026	Início: 15:11, Fim: 15:19	RECIFE(PE) - NATAL(RN)	6139
26171	17	84	Rodovia Governador Mário Covas, Goiana - Pernambuco, Brasil	12/02/2026	Início: 09:31, Fim: 09:48	RECIFE(PE) - NATAL(RN)	6345
26171	11	84	Rodovia Governador Mário Covas, Baía Formosa - Rio Grande do Norte, Brasil	12/02/2026	Início: 11:55, Fim: 12:06	RECIFE(PE) - NATAL(RN)	6345
26171	5	84	Rodovia Luiz Gonzaga, Curado, Recife - Pernambuco, 54130-340, Brasil	16/02/2026	Início: 15:55, Fim: 16:00	RECIFE(PE) - NATAL(RN)	6274
26171	7	84	Br-101, Mirueira, Paulista - Pernambuco, Brasil	19/02/2026	Início: 09:55, Fim: 10:02	RECIFE(PE) - NATAL(RN)	6139
26171	8	84	Rua Sem Denominacao 1 900, Mário Andreazza, Bayeux - Paraíba, 58111-030, Brasil	21/02/2026	Início: 12:59, Fim: 13:07	RECIFE(PE) - NATAL(RN)	6139
26171	7	84	Rodovia Governador Mário Covas, Itapissuma - Pernambuco, Brasil	23/02/2026	Início: 06:45, Fim: 06:52	RECIFE(PE) - NATAL(RN)	6089
26172	10	84	Rodovia Governador Mário Covas, Teotônio Vilela - Alagoas, Brasil	04/02/2026	Início: 01:15, Fim: 01:25	RECIFE(PE) - ARACAJU(SE)	6069
26172	8	84	Rodovia BR-232, Terra Nova - Pernambuco, Brasil	10/02/2026	Início: 21:33, Fim: 21:41	RECIFE(PE) - FLORIANO(PI)	6208
26172	13	84	Rodovia BR-232, Custódia - Pernambuco, Brasil	11/02/2026	Início: 01:27, Fim: 01:40	RECIFE(PE) - FLORIANO(PI)	6208
26172	16	84	Rodovia Br-232, Flores - Pernambuco, 56640-000, Brasil	26/02/2026	Início: 04:12, Fim: 04:28	RECIFE(PE) - SÃO JOSÉ DO BELMONTE(PE)	6138
26172	14	84	Rodovia BR-232 2023, Serra Talhada - Pernambuco, 56907-090, Brasil	26/02/2026	Início: 05:05, Fim: 05:19	RECIFE(PE) - SÃO JOSÉ DO BELMONTE(PE)	6138
26179	6	84	Al-220 1258, Canafístula, Arapiraca - Alagoas, 57302-140, Brasil	03/02/2026	Início: 04:04, Fim: 04:10	MACEIÓ(AL) - PETROLINA(PE)	6067
26179	8	84	Avenida Manoel Maciano 342, São José da Tapera - Alagoas, 57445-000, Brasil	05/02/2026	Início: 21:20, Fim: 21:28	MACEIÓ(AL) - PETROLINA(PE)	6127
26179	5	84	Br-110, Delmiro Gouveia - Alagoas, Brasil	07/02/2026	Início: 00:30, Fim: 00:35	MACEIÓ(AL) - PETROLINA(PE)	6047
26179	14	84	Delmiro Gouveia, Alagoas, Brasil	11/02/2026	Início: 23:17, Fim: 23:31	MACEIÓ(AL) - PETROLINA(PE)	6137
26179	10	84	Rodovia BR-428, Santa Maria da Boa Vista - Pernambuco, Brasil	13/02/2026	Início: 19:19, Fim: 19:29	MACEIÓ(AL) - PETROLINA(PE)	6119
26198	10	84	Rodovia Governador Antônio Mariz 161, Sobrado - Paraíba, 58342-000, Brasil	23/02/2026	Início: 18:11, Fim: 18:21	SÃO LUIS X NATAL (CGE X NAT) IN	6089
26198	17	84	Rodovia Governador Antônio Mariz, Gurinhém - Paraíba, Brasil	23/02/2026	Início: 18:29, Fim: 18:46	SÃO LUIS X NATAL (CGE X NAT) IN	6089
26203	13	84	Rodovia BR-232 9, Tacaimbó - Pernambuco, 55140-000, Brasil	13/02/2026	Início: 21:26, Fim: 21:39	CRATO(CE) - RECIFE(PE)	6205
26203	9	84	Rodovia Br-232 121, Sanharó - Pernambuco, 55250-000, Brasil	13/02/2026	Início: 22:01, Fim: 22:10	CRATO(CE) - RECIFE(PE)	6205
26203	18	84	Rodovia Governador Mário Covas, Goiana - Pernambuco, Brasil	17/02/2026	Início: 01:13, Fim: 01:31	RECIFE(PE) - NATAL(RN)	6077
26203	6	84	Rodovia Governador Mário Covas, Santa Rita - Paraíba, Brasil	22/02/2026	Início: 02:35, Fim: 02:41	RECIFE(PE) - NATAL(RN)	6127
26203	7	84	Rodovia Governador Mário Covas, Mataraca - Paraíba, Brasil	22/02/2026	Início: 03:33, Fim: 03:40	RECIFE(PE) - NATAL(RN)	6127
26203	25	84	Rodovia Governador Mário Covas, Goiana - Pernambuco, Brasil	23/02/2026	Início: 03:24, Fim: 03:49	RECIFE(PE) - NATAL(RN)	6073
26213	11	84	Rodovia BR-104, Panelas - Pernambuco, Brasil	06/02/2026	Início: 01:43, Fim: 01:54	MACEIÓ(AL) - CAMPINA GRANDE(PB)	6054
26213	6	84	Rodovia BR-104 282, Agrestina - Pernambuco, 55495-000, Brasil	09/02/2026	Início: 02:47, Fim: 02:53	MACEIÓ(AL) - CAMPINA GRANDE(PB)	6146
26213	8	84	Rodovia BR-104, União dos Palmares - Alagoas, Brasil	13/02/2026	Início: 00:51, Fim: 00:59	MACEIÓ(AL) - CAMPINA GRANDE(PB)	6096
26215	48	84	Rodovia BR-316, Floresta - Pernambuco, Brasil	02/02/2026	Início: 01:58, Fim: 02:46	MACEIÓ(AL) - PETROLINA(PE)	6087
26215	25	84	Rodovia BR-316, Belém do São Francisco - Pernambuco, Brasil	02/02/2026	Início: 03:14, Fim: 03:39	MACEIÓ(AL) - PETROLINA(PE)	6087
26215	31	84	Rodovia BR-428, Cabrobó - Pernambuco, Brasil	02/02/2026	Início: 04:28, Fim: 04:59	MACEIÓ(AL) - PETROLINA(PE)	6087
26215	12	84	Fazenda Picos 1, Piranhas - Alagoas, 57460-000, Brasil	06/02/2026	Início: 22:17, Fim: 22:29	MACEIÓ(AL) - PETROLINA(PE)	6047
26215	16	84	Rodovia Teotonio Brandão Vilela AL 220, Olho d'Água Do Casado - Alagoas, Brasil	06/02/2026	Início: 22:32, Fim: 22:48	MACEIÓ(AL) - PETROLINA(PE)	6047
26215	5	84	Delmiro Gouveia, Alagoas, Brasil	06/02/2026	Início: 23:06, Fim: 23:11	MACEIÓ(AL) - PETROLINA(PE)	6047
26224	7	84	Br-222, Açailândia - Maranhão, Brasil	10/02/2026	Início: 22:01, Fim: 22:08	SÃO LUIS(MA) - IMPERATRIZ(MA)	6264
26225	8	84	Br-135, Matões do Norte - Maranhão, Brasil	27/02/2026	Início: 05:08, Fim: 05:16	SÃO LUIS(MA) - BALSAS(MA)	6274
26235	26	84	Rodovia BR-232, Sertânia - Pernambuco, Brasil	04/02/2026	Início: 13:47, Fim: 14:13	RECIFE(PE) - PETROLINA(PE) via Salgueiro (PINGA)	6039
26235	8	84	Rodovia BR-232, Flores - Pernambuco, Brasil	07/02/2026	Início: 12:41, Fim: 12:49	RECIFE(PE) - PETROLINA(PE) via Salgueiro (PINGA)	6067
26235	11	84	Br-316, Ouricuri - Pernambuco, Brasil	09/02/2026	Início: 20:01, Fim: 20:12	RECIFE(PE) - ARARIPINA(PE) (PINGA)	6097
26235	14	84	Rodovia Br-232 27, Pesqueira - Pernambuco, 55200-000, Brasil	12/02/2026	Início: 11:21, Fim: 11:35	RECIFE(PE) - PETROLINA(PE) via Salgueiro (PINGA)	6209
26235	6	84	Lagoa Do Gato Passando Tanque Novo 1 12, Ouricuri - Pernambuco, 56200-000, Brasil	16/02/2026	Início: 07:51, Fim: 07:57	RECIFE(PE) - ARARIPINA(PE) (PINGA)	6119
26238	6	84	Transamazônica, Campo Grande do Piauí - Piauí, Brasil	14/02/2026	Início: 01:41, Fim: 01:47	RECIFE(PE) - TERESINA(PI)	6079
26239	10	84	BR-423, Saloá - Pernambuco, Brasil	05/02/2026	Início: 02:53, Fim: 03:03	RECIFE(PE) - PETROLÂNDIA(PE) via Garanhuns (NOTURNO)	6047
26239	14	84	Inajá, Pernambuco, Brasil	05/02/2026	Início: 05:30, Fim: 05:44	RECIFE(PE) - PETROLÂNDIA(PE) via Garanhuns (NOTURNO)	6047
26239	7	84	Rodovia Br-232, São Caetano - Pernambuco, 55140-000, Brasil	06/02/2026	Início: 22:32, Fim: 22:39	CRATO(CE) - RECIFE(PE)	6063
26239	15	84	BR 423 - Rodovia Mestre Domiguinhos, Lajedo - Pernambuco, Brasil	11/02/2026	Início: 00:20, Fim: 00:35	RECIFE(PE) - PETROLÂNDIA(PE) via Garanhuns (NOTURNO)	6067
26239	5	84	Rodovia PE 375 (Inajá - Caraibeiras), Tacaratu - Pernambuco, Brasil	11/02/2026	Início: 05:20, Fim: 05:25	RECIFE(PE) - PETROLÂNDIA(PE) via Garanhuns (NOTURNO)	6067
26239	32	84	Rodovia BR-232, Pesqueira - Pernambuco, Brasil	19/02/2026	Início: 02:32, Fim: 03:04	CRATO(CE) - RECIFE(PE)	6063
26239	11	84	Rodovia BR-232, Sanharó - Pernambuco, Brasil	19/02/2026	Início: 03:20, Fim: 03:31	CRATO(CE) - RECIFE(PE)	6063
26256	6	84	Avenida Santa Cruz 1, Miranda do Norte - Maranhão, 65495-000, Brasil	04/02/2026	Início: 05:03, Fim: 05:09	SÃO LUIS(MA) - BALSAS(MA)	6175
26258	12	84	Rodovia Governador Mário Covas, Alhandra - Paraíba, 58320-000, Brasil	02/02/2026	Início: 10:48, Fim: 11:00	RECIFE(PE) - NATAL(RN)	6089
26258	15	84	Rodovia Governador Mário Covas, São José de Mipibu - Rio Grande do Norte, Brasil	12/02/2026	Início: 19:20, Fim: 19:35	RECIFE(PE) - NATAL(RN)	6107
26261	17	84	BR-428, Petrolina - Pernambuco, Brasil	05/02/2026	Início: 18:56, Fim: 19:13	RECIFE(PE) - PETROLINA(PE) via Salgueiro (PINGA)	6027
26262	35	84	Rodovia BR-232, Custódia - Pernambuco, Brasil	01/02/2026	Início: 00:24, Fim: 00:59	JUAZEIRO(BA) - RECIFE(PE)	6355
26262	29	84	PE-360, Ibimirim - Pernambuco, Brasil	03/02/2026	Início: 01:08, Fim: 01:37	RECIFE(PE) - PETROLINA(PE) (ANTIGO JUAZEIRO)	6335
26262	10	84	Br-110, Ibimirim - Pernambuco, Brasil	03/02/2026	Início: 01:50, Fim: 02:00	RECIFE(PE) - PETROLINA(PE) (ANTIGO JUAZEIRO)	6335
26262	9	84	Caraíbas, Santa Maria da Boa Vista, Pernambuco, Brasil	04/02/2026	Início: 06:16, Fim: 06:25	RECIFE(PE) - PETROLINA(PE) (ANTIGO JUAZEIRO)	6295
26262	9	84	Rodovia BR-428, Santa Maria da Boa Vista - Pernambuco, Brasil	05/02/2026	Início: 20:47, Fim: 20:56	RECIFE(PE) - PETROLINA(PE) (ANTIGO JUAZEIRO)	6285
26262	33	84	Rodovia BR-316, Belém do São Francisco - Pernambuco, Brasil	05/02/2026	Início: 23:08, Fim: 23:41	RECIFE(PE) - PETROLINA(PE) (ANTIGO JUAZEIRO)	6285
26262	32	84	Rodovia BR-316, Belém do São Francisco - Pernambuco, Brasil	07/02/2026	Início: 04:56, Fim: 05:28	RECIFE(PE) - PETROLINA(PE) (ANTIGO JUAZEIRO)	6205
26262	47	84	PE-360, Floresta - Pernambuco, Brasil	12/02/2026	Início: 00:04, Fim: 00:51	RECIFE(PE) - PETROLINA(PE) (ANTIGO JUAZEIRO)	6295
26262	10	84	Caraíbas, Santa Maria da Boa Vista, Pernambuco, Brasil	13/02/2026	Início: 06:13, Fim: 06:23	RECIFE(PE) - PETROLINA(PE) (ANTIGO JUAZEIRO)	6325
