Prefixo do Veículo;Data;Operacional (KM);Ociosa (KM);Total (KM)
6304;16/02/2026;613.8;6.6;620.4
6305;16/02/2026;789.3;6.6;795.9
6305;22/02/2026;814.1;6.6;820.7
6314;05/02/2026;718.9;6.6;725.5
6324;16/02/2026;1112.6;6.6;1119.2
6344;01/02/2026;589.6;6.6;596.2
6355;23/02/2026;800.7;6.6;807.3
6017;02/02/2026;409.6;6.5;416.1
6033;01/02/2026;648.4;6.5;654.9
6048;15/02/2026;373.8;6.5;380.3
6058;09/02/2026;376;6.5;382.5
6059;05/02/2026;708.1;6.5;714.6
6078;02/02/2026;300.1;6.5;306.6
6085;27/02/2026;430.4;6.5;436.9
6093;02/02/2026;1075.4;6.5;1081.9
6103;01/02/2026;338.3;6.5;344.8
6105;22/02/2026;298.8;6.5;305.3
6108;24/02/2026;126.5;6.5;133
6109;26/02/2026;773.1;6.5;779.6
6118;07/02/2026;552.6;6.5;559.1
6138;03/02/2026;298.2;6.5;304.7
6148;01/02/2026;301.1;6.5;307.6
6158;12/02/2026;516.7;6.5;523.2
6158;21/02/2026;391;6.5;397.5
6169;10/02/2026;878.4;6.5;884.9
6175;06/02/2026;794;6.5;800.5
6175;10/02/2026;785;6.5;791.5
6179;07/02/2026;591;6.5;597.5
6194;04/02/2026;775.4;6.5;781.9
6235;13/02/2026;637.9;6.5;644.4
6238;16/02/2026;520.4;6.5;526.9
6255;03/02/2026;1078.1;6.5;1084.6
6264;01/02/2026;649.9;6.5;656.4
6264;03/02/2026;802.3;6.5;808.8
6265;08/02/2026;1088.8;6.5;1095.3
6295;10/02/2026;1153.9;6.5;1160.4
6304;02/02/2026;614.6;6.5;621.1
6314;03/02/2026;598.6;6.5;605.1
6355;21/02/2026;796.7;6.5;803.2
6035;18/02/2026;876.6;6.4;883
6038;01/02/2026;573.2;6.4;579.6
6043;24/02/2026;724.7;6.4;731.1
6067;20/02/2026;288.9;6.4;295.3
6073;17/02/2026;;6.4;6.4
6073;27/02/2026;252.5;6.4;258.9
6076;06/02/2026;522.7;6.4;529.1
6095;22/02/2026;272.3;6.4;278.7
6105;21/02/2026;306.1;6.4;312.5
6107;27/02/2026;605.1;6.4;611.5
6124;14/02/2026;547.8;6.4;554.2
6126;09/02/2026;342;6.4;348.4
6145;26/02/2026;565;6.4;571.4
6146;15/02/2026;395.4;6.4;401.8
6157;22/02/2026;380;6.4;386.4
6158;02/02/2026;573;6.4;579.4
6168;10/02/2026;788.8;6.4;795.2
6175;04/02/2026;682.5;6.4;688.9
6185;14/02/2026;534.3;6.4;540.7
6244;11/02/2026;518.4;6.4;524.8
6264;11/02/2026;545.6;6.4;552
6269;20/02/2026;249.7;6.4;256.1
6274;23/02/2026;602.6;6.4;609
6295;03/02/2026;660.4;6.4;666.8
6304;06/02/2026;648.4;6.4;654.8
6305;12/02/2026;637;6.4;643.4
6314;23/02/2026;693.2;6.4;699.6
6324;08/02/2026;285.8;6.4;292.2
6324;10/02/2026;573.9;6.4;580.3
2252;03/02/2026;;6.3;6.3
6035;21/02/2026;385.4;6.3;391.7
6047;26/02/2026;608.7;6.3;615
6054;21/02/2026;211.9;6.3;218.2
6059;12/02/2026;630.5;6.3;636.8
6076;25/02/2026;342.7;6.3;349
6078;05/02/2026;575.3;6.3;581.6
6086;10/02/2026;437.4;6.3;443.7
6088;09/02/2026;575.9;6.3;582.2
6096;08/02/2026;391;6.3;397.3
6103;08/02/2026;298.2;6.3;304.5
6103;23/02/2026;448.4;6.3;454.7
6127;11/02/2026;770;6.3;776.3
6127;21/02/2026;330.2;6.3;336.5
6135;15/02/2026;234.5;6.3;240.8
6195;18/02/2026;844.8;6.3;851.1
6204;14/02/2026;371.5;6.3;377.8
6209;02/02/2026;553.5;6.3;559.8
6244;09/02/2026;;6.3;6.3
6248;21/02/2026;299.5;6.3;305.8
6289;13/02/2026;695.7;6.3;702
6304;14/02/2026;361.3;6.3;367.6
6305;18/02/2026;706.1;6.3;712.4
6324;12/02/2026;519.5;6.3;525.8
6324;14/02/2026;594.5;6.3;600.8
6325;19/02/2026;600.6;6.3;606.9
6344;12/02/2026;514.2;6.3;520.5
6025;19/02/2026;306.2;6.2;312.4
6028;11/02/2026;616.8;6.2;623
6028;17/02/2026;638.6;6.2;644.8
6067;23/02/2026;306.2;6.2;312.4
6067;28/02/2026;985.7;6.2;991.9
6076;12/02/2026;571.7;6.2;577.9
6077;16/02/2026;771.6;6.2;777.8
6109;20/02/2026;601.3;6.2;607.5
6119;05/02/2026;289.9;6.2;296.1
6127;13/02/2026;604.2;6.2;610.4
6145;09/02/2026;306.1;6.2;312.3
6148;20/02/2026;306.2;6.2;312.4
6157;02/02/2026;583.9;6.2;590.1
6157;08/02/2026;532.5;6.2;538.7
6185;22/02/2026;960.2;6.2;966.4
6215;26/02/2026;486.5;6.2;492.7
6228;19/02/2026;839.7;6.2;845.9
6239;15/02/2026;249.4;6.2;255.6
6255;15/02/2026;588.8;6.2;595
6255;20/02/2026;748.2;6.2;754.4
6304;04/02/2026;549.2;6.2;555.4
6325;02/02/2026;671.3;6.2;677.5
6345;09/02/2026;1099.2;6.2;1105.4
6027;16/02/2026;473.2;6.1;479.3
6038;18/02/2026;555.6;6.1;561.7
6044;10/02/2026;517.6;6.1;523.7
6056;23/02/2026;396.6;6.1;402.7
6063;10/02/2026;176.3;6.1;182.4
6087;15/02/2026;821.9;6.1;828
6105;13/02/2026;930.8;6.1;936.9
6124;15/02/2026;521.1;6.1;527.2
6127;24/02/2026;528.9;6.1;535
6137;20/02/2026;619.2;6.1;625.3
6137;21/02/2026;595.3;6.1;601.4
6209;18/02/2026;297.6;6.1;303.7
6209;23/02/2026;1108.7;6.1;1114.8
6225;24/02/2026;775.8;6.1;781.9
6229;13/02/2026;428.8;6.1;434.9
6235;05/02/2026;427.1;6.1;433.2
6245;10/02/2026;956.4;6.1;962.5
6248;06/02/2026;575.2;6.1;581.3
6285;04/02/2026;1125.9;6.1;1132
6305;14/02/2026;852.2;6.1;858.3
6014;20/02/2026;350.1;59.8;409.9
6294;27/02/2026;;589.7;589.7
6274;06/02/2026;59.7;581.5;641.2
6155;12/02/2026;;58.8;58.8
6136;10/02/2026;392.1;58.1;450.2
6129;06/02/2026;680.6;57.9;738.5
6119;27/02/2026;512.1;57.6;569.7
6224;24/02/2026;;57.2;57.2
6017;17/02/2026;53.6;569.3;622.9
6047;03/02/2026;;562.5;562.5
6219;10/02/2026;;562.3;562.3
6269;07/02/2026;735.9;56.6;792.5
6016;21/02/2026;;56.5;56.5
6105;18/02/2026;211.6;557.3;768.9
6344;23/02/2026;793.6;549.7;1343.3
6129;26/02/2026;407.7;541.9;949.6
6224;08/02/2026;214.3;54.9;269.2
6219;09/02/2026;657.4;54.5;711.9
6016;10/02/2026;140.4;54.3;194.7
6279;19/02/2026;239.9;54.2;294.1
6189;13/02/2026;290.3;535.5;825.8
6093;11/02/2026;688.3;532.3;1220.6
6219;26/02/2026;;532.2;532.2
2262;24/02/2026;;531.6;531.6
6248;26/02/2026;362;53.8;415.8
2232;12/02/2026;244.3;53.3;297.6
6093;08/02/2026;634.4;529.7;1164.1
6103;16/02/2026;606.2;527.5;1133.7
6294;16/02/2026;;521.5;521.5
6159;02/02/2026;;520.9;520.9
2262;05/02/2026;237.7;52.3;290
6069;19/02/2026;;52.1;52.1
6129;02/02/2026;259;517.6;776.6
6108;02/02/2026;146.1;516.2;662.3
6219;03/02/2026;;511.3;511.3
6069;08/02/2026;779.4;51.7;831.1
6025;13/02/2026;412.8;51.6;464.4
6199;13/02/2026;594;51.2;645.2
6039;14/02/2026;386.5;509.4;895.9
6135;19/02/2026;360.6;508.5;869.1
6168;28/02/2026;254.4;507.9;762.3
6294;14/02/2026;354.8;502.5;857.3
6059;15/02/2026;;501.5;501.5
6093;10/02/2026;3.3;501.3;504.6
2232;06/02/2026;240.9;50.7;291.6
6023;26/02/2026;;50.6;50.6
6126;15/02/2026;138.8;50.3;189.1
6255;26/02/2026;261.4;50.3;311.7
6274;13/02/2026;1110.1;50.1;1160.2
6026;28/02/2026;262.1;5.9;268
6029;27/02/2026;298.7;5.9;304.6
6039;16/02/2026;644.3;5.9;650.2
6054;27/02/2026;244.8;5.9;250.7
6058;03/02/2026;602.7;5.9;608.6
6059;04/02/2026;1057.3;5.9;1063.2
6076;09/02/2026;574.4;5.9;580.3
6076;23/02/2026;554.9;5.9;560.8
6103;06/02/2026;1024.1;5.9;1030
6103;27/02/2026;936.5;5.9;942.4
6105;02/02/2026;548;5.9;553.9
6119;16/02/2026;792;5.9;797.9
6138;02/02/2026;306.3;5.9;312.2
6157;04/02/2026;553;5.9;558.9
6188;11/02/2026;574.4;5.9;580.3
6195;10/02/2026;885.3;5.9;891.2
6205;13/02/2026;930.3;5.9;936.2
6225;20/02/2026;676.9;5.9;682.8
6228;07/02/2026;572.7;5.9;578.6
6228;21/02/2026;306.1;5.9;312
6235;25/02/2026;701.6;5.9;707.5
6245;01/02/2026;789.8;5.9;795.7
6265;03/02/2026;417.6;5.9;423.5
6295;01/02/2026;579.1;5.9;585
6295;23/02/2026;672.2;5.9;678.1
6299;25/02/2026;729.2;5.9;735.1
6335;03/02/2026;947;5.9;952.9
6019;07/02/2026;638.9;5.8;644.7
6027;04/02/2026;594.6;5.8;600.4
6037;24/02/2026;;5.8;5.8
6039;02/02/2026;620.3;5.8;626.1
6044;18/02/2026;503.9;5.8;509.7
6069;03/02/2026;584.6;5.8;590.4
6069;23/02/2026;637.2;5.8;643
6075;26/02/2026;229.6;5.8;235.4
6079;01/02/2026;549.1;5.8;554.9
6085;05/02/2026;368;5.8;373.8
6088;22/02/2026;777.3;5.8;783.1
6089;06/02/2026;154.5;5.8;160.3
6124;17/02/2026;517.9;5.8;523.7
6138;04/02/2026;305.8;5.8;311.6
6138;21/02/2026;449.2;5.8;455
6157;12/02/2026;959.6;5.8;965.4
6238;08/02/2026;518.8;5.8;524.6
6239;14/02/2026;754.3;5.8;760.1
6014;08/02/2026;587.7;5.7;593.4
6025;24/02/2026;306.2;5.7;311.9
6043;18/02/2026;684.2;5.7;689.9
6045;16/02/2026;274.1;5.7;279.8
6053;20/02/2026;654.3;5.7;660
6067;03/02/2026;602.7;5.7;608.4
6069;22/02/2026;609.2;5.7;614.9
6078;03/02/2026;575.2;5.7;580.9
6097;20/02/2026;606.5;5.7;612.2
6105;24/02/2026;513.3;5.7;519
6107;26/02/2026;617.7;5.7;623.4
6125;21/02/2026;520.2;5.7;525.9
6128;25/02/2026;577;5.7;582.7
6169;03/02/2026;831.4;5.7;837.1
6178;20/02/2026;802.2;5.7;807.9
6185;18/02/2026;1075.7;5.7;1081.4
6185;26/02/2026;942.9;5.7;948.6
6209;12/02/2026;772.6;5.7;778.3
6215;03/02/2026;889.8;5.7;895.5
6215;12/02/2026;667.6;5.7;673.3
6215;19/02/2026;735.7;5.7;741.4
6218;05/02/2026;574.3;5.7;580
6238;02/02/2026;695.4;5.7;701.1
6248;07/02/2026;305.8;5.7;311.5
6295;21/02/2026;679.5;5.7;685.2
6314;09/02/2026;974.6;5.7;980.3
6025;08/02/2026;513.1;5.6;518.7
6027;15/02/2026;722.9;5.6;728.5
6029;26/02/2026;296.9;5.6;302.5
6048;27/02/2026;620;5.6;625.6
6053;16/02/2026;654.9;5.6;660.5
6054;26/02/2026;478.2;5.6;483.8
6096;12/02/2026;367.4;5.6;373
6098;22/02/2026;305.5;5.6;311.1
6098;28/02/2026;307;5.6;312.6
6116;15/02/2026;391.2;5.6;396.8
6129;13/02/2026;930.1;5.6;935.7
6129;17/02/2026;782.8;5.6;788.4
6135;26/02/2026;345.2;5.6;350.8
6139;08/02/2026;528;5.6;533.6
6145;19/02/2026;526.6;5.6;532.2
6149;06/02/2026;616.1;5.6;621.7
6149;10/02/2026;981;5.6;986.6
6156;14/02/2026;305.9;5.6;311.5
6175;08/02/2026;819.5;5.6;825.1
6199;11/02/2026;771.3;5.6;776.9
6205;24/02/2026;690.2;5.6;695.8
6205;27/02/2026;665.6;5.6;671.2
6209;19/02/2026;289.4;5.6;295
6248;05/02/2026;305.9;5.6;311.5
6265;04/02/2026;901.5;5.6;907.1
6275;16/02/2026;708.4;5.6;714
6299;10/02/2026;404.6;5.6;410.2
6324;03/02/2026;573.4;5.6;579
6355;10/02/2026;546.2;5.6;551.8
6017;22/02/2026;669.1;5.5;674.6
6023;19/02/2026;249.1;5.5;254.6
6046;14/02/2026;249;5.5;254.5
6054;24/02/2026;201.5;5.5;207
6058;13/02/2026;847.5;5.5;853
6059;06/02/2026;581.5;5.5;587
6066;17/02/2026;263;5.5;268.5
6066;26/02/2026;578.8;5.5;584.3
6079;15/02/2026;294.8;5.5;300.3
6118;11/02/2026;306.4;5.5;311.9
6137;02/02/2026;297.1;5.5;302.6
6157;27/02/2026;714;5.5;719.5
6158;15/02/2026;390.2;5.5;395.7
6189;22/02/2026;676.5;5.5;682
6199;26/02/2026;;5.5;5.5
6209;17/02/2026;771.8;5.5;777.3
6225;10/02/2026;759.5;5.5;765
6255;13/02/2026;1021.2;5.5;1026.7
6289;22/02/2026;93.2;5.5;98.7
6309;17/02/2026;315.5;5.5;321
6325;26/02/2026;1104.7;5.5;1110.2
6335;21/02/2026;639.3;5.5;644.8
6355;04/02/2026;839.4;5.5;844.9
6014;07/02/2026;685.6;5.4;691
6017;07/02/2026;659;5.4;664.4
6058;05/02/2026;600.4;5.4;605.8
6058;18/02/2026;839.3;5.4;844.7
6077;20/02/2026;985.7;5.4;991.1
6079;25/02/2026;611.4;5.4;616.8
6088;24/02/2026;478;5.4;483.4
6088;26/02/2026;291.1;5.4;296.5
6093;23/02/2026;1080.7;5.4;1086.1
6098;12/02/2026;263;5.4;268.4
6098;17/02/2026;263.1;5.4;268.5
6119;14/02/2026;625.3;5.4;630.7
6127;17/02/2026;659.9;5.4;665.3
6147;25/02/2026;585.6;5.4;591
6155;20/02/2026;251;5.4;256.4
6169;25/02/2026;850.4;5.4;855.8
6195;02/02/2026;866.9;5.4;872.3
6199;21/02/2026;674.3;5.4;679.7
6215;05/02/2026;1098.2;5.4;1103.6
6215;14/02/2026;710.8;5.4;716.2
6245;15/02/2026;971.3;5.4;976.7
6264;27/02/2026;899.2;5.4;904.6
6275;23/02/2026;1139.2;5.4;1144.6
6309;28/02/2026;551.1;5.4;556.5
6344;14/02/2026;1019.4;5.4;1024.8
6345;11/02/2026;1023;5.4;1028.4
6014;01/02/2026;672.8;5.3;678.1
6015;13/02/2026;263.3;5.3;268.6
6027;06/02/2026;769.4;5.3;774.7
6046;21/02/2026;395.3;5.3;400.6
6058;19/02/2026;860.9;5.3;866.2
6076;19/02/2026;329.4;5.3;334.7
6086;26/02/2026;576.4;5.3;581.7
6088;12/02/2026;522.6;5.3;527.9
6088;27/02/2026;305.9;5.3;311.2
6096;15/02/2026;270.7;5.3;276
6097;17/02/2026;609.7;5.3;615
6124;23/02/2026;201.6;5.3;206.9
6137;01/02/2026;769.6;5.3;774.9
6159;12/02/2026;908.1;5.3;913.4
6159;24/02/2026;873.8;5.3;879.1
6189;11/02/2026;980.5;5.3;985.8
6199;24/02/2026;604.8;5.3;610.1
6205;08/02/2026;872.2;5.3;877.5
6209;13/02/2026;770.1;5.3;775.4
6235;06/02/2026;933.8;5.3;939.1
6238;05/02/2026;520.5;5.3;525.8
6264;05/02/2026;472.2;5.3;477.5
6269;05/02/2026;249.7;5.3;255
6269;22/02/2026;498.4;5.3;503.7
6295;18/02/2026;1010.3;5.3;1015.6
6309;22/02/2026;248.7;5.3;254
6314;11/02/2026;846.2;5.3;851.5
6325;23/02/2026;762.3;5.3;767.6
6335;01/02/2026;897.6;5.3;902.9
6015;09/02/2026;497.8;5.2;503
6018;26/02/2026;620.1;5.2;625.3
6026;14/02/2026;263;5.2;268.2
6026;27/02/2026;262.8;5.2;268
6028;04/02/2026;227.9;5.2;233.1
6036;15/02/2026;262.6;5.2;267.8
6046;11/02/2026;262.8;5.2;268
6054;04/02/2026;412.6;5.2;417.8
6089;22/02/2026;781.6;5.2;786.8
6097;11/02/2026;956.3;5.2;961.5
6105;19/02/2026;235.2;5.2;240.4
6127;19/02/2026;605.1;5.2;610.3
6145;23/02/2026;243.1;5.2;248.3
6146;19/02/2026;299.8;5.2;305
6156;01/02/2026;251.3;5.2;256.5
6157;28/02/2026;580.4;5.2;585.6
6189;16/02/2026;295;5.2;300.2
6199;10/02/2026;635.2;5.2;640.4
6204;11/02/2026;370.1;5.2;375.3
6215;24/02/2026;954.5;5.2;959.7
6224;12/02/2026;506.9;5.2;512.1
6224;13/02/2026;603.9;5.2;609.1
6224;21/02/2026;431.9;5.2;437.1
6225;02/02/2026;758.9;5.2;764.1
6229;27/02/2026;440.9;5.2;446.1
6249;07/02/2026;249.6;5.2;254.8
6265;22/02/2026;749;5.2;754.2
6304;12/02/2026;252.3;5.2;257.5
6314;07/02/2026;493.2;5.2;498.4
6335;06/02/2026;932.5;5.2;937.7
6015;04/02/2026;372.3;5.1;377.4
6017;09/02/2026;874.1;5.1;879.2
6019;17/02/2026;756.1;5.1;761.2
6023;05/02/2026;689.9;5.1;695
6039;03/02/2026;770;5.1;775.1
6058;12/02/2026;789.6;5.1;794.7
6058;20/02/2026;793.2;5.1;798.3
6073;09/02/2026;601.4;5.1;606.5
6077;07/02/2026;983.5;5.1;988.6
6077;15/02/2026;771;5.1;776.1
6083;02/02/2026;103.8;5.1;108.9
6095;12/02/2026;263.6;5.1;268.7
6105;12/02/2026;231.3;5.1;236.4
6119;21/02/2026;744.7;5.1;749.8
6119;25/02/2026;770.7;5.1;775.8
6125;01/02/2026;891.3;5.1;896.4
6127;02/02/2026;1004.8;5.1;1009.9
6127;06/02/2026;659.1;5.1;664.2
6129;19/02/2026;769.9;5.1;775
6135;13/02/2026;263;5.1;268.1
6146;16/02/2026;260.1;5.1;265.2
6156;22/02/2026;261.9;5.1;267
6157;01/02/2026;693.3;5.1;698.4
6158;17/02/2026;262.8;5.1;267.9
6178;01/02/2026;879.6;5.1;884.7
6179;08/02/2026;646;5.1;651.1
6205;11/02/2026;360.7;5.1;365.8
6208;06/02/2026;1052.5;5.1;1057.6
6208;20/02/2026;658.2;5.1;663.3
6209;06/02/2026;821.3;5.1;826.4
6249;20/02/2026;249.4;5.1;254.5
6355;13/02/2026;949.4;5.1;954.5
6344;20/02/2026;478.4;495.5;973.9
6269;19/02/2026;616.6;49.9;666.5
6017;11/02/2026;730.5;49.7;780.2
2222;21/02/2026;240.1;49.6;289.7
2272;12/02/2026;476.8;49.4;526.2
6118;05/02/2026;613.6;49.3;662.9
6035;13/02/2026;204.3;49.2;253.5
6059;11/02/2026;397.4;486.4;883.8
6189;14/02/2026;;483.4;483.4
6098;23/02/2026;;48.6;48.6
2222;12/02/2026;372.5;48.4;420.9
6085;10/02/2026;385;48.3;433.3
6344;22/02/2026;392;477.9;869.9
6095;04/02/2026;174.4;476.3;650.7
6095;18/02/2026;129.6;475.9;605.5
6035;11/02/2026;129.3;475.2;604.5
6189;04/02/2026;70.1;470.6;540.7
6189;08/02/2026;848.2;47.9;896.1
2212;17/02/2026;237.5;47.8;285.3
6059;08/02/2026;;47.7;47.7
6037;22/02/2026;;47.4;47.4
6249;02/02/2026;174.6;466.9;641.5
6199;09/02/2026;385.2;462.3;847.5
6126;25/02/2026;176.2;461.8;638
6324;25/02/2026;252.4;460.4;712.8
6063;13/02/2026;607.8;46.6;654.4
6188;01/02/2026;751.6;46.2;797.8
6135;24/02/2026;;459.8;459.8
6219;27/02/2026;252.5;459.8;712.3
6199;08/02/2026;;458.3;458.3
6274;02/02/2026;372.6;457.3;829.9
6344;21/02/2026;168.7;456.7;625.4
6305;11/02/2026;367.2;455.7;822.9
6299;20/02/2026;250;451.1;701.1
6068;17/02/2026;537.3;45.7;583
6138;16/02/2026;128.7;45.7;174.4
6309;11/02/2026;1023.5;45.4;1068.9
2272;20/02/2026;474;45.3;519.3
6098;19/02/2026;466.2;440.2;906.4
6029;05/02/2026;92.6;439.2;531.8
6294;25/02/2026;64.5;437.8;502.3
6149;12/02/2026;277.4;436.1;713.5
6245;22/02/2026;620.4;435.5;1055.9
6159;20/02/2026;347.7;433.9;781.6
6274;18/02/2026;;431.6;431.6
6324;24/02/2026;456.8;431.4;888.2
6043;21/02/2026;289.2;430.2;719.4
6097;28/02/2026;914.8;43.7;958.5
2232;28/02/2026;239.3;43.6;282.9
6309;24/02/2026;659.4;43.6;703
6255;19/02/2026;537.2;43.1;580.3
6135;25/02/2026;288.1;428.7;716.8
6299;05/02/2026;459.1;428.6;887.7
2222;07/02/2026;;420.2;420.2
6043;12/02/2026;720.9;42.9;763.8
2222;18/02/2026;475.5;42.8;518.3
6043;20/02/2026;886.9;42.8;929.7
6149;03/02/2026;297.3;419.7;717
6165;09/02/2026;628.3;418.7;1047
6208;18/02/2026;146.4;418.7;565.1
6083;09/02/2026;843.2;416.2;1259.4
6053;26/02/2026;660.3;41.7;702
2272;17/02/2026;474.1;41.5;515.6
6019;04/02/2026;285.4;407.8;693.2
6044;02/02/2026;379.7;404.4;784.1
6169;07/02/2026;;402.3;402.3
6023;28/02/2026;;401.1;401.1
6067;15/02/2026;116.3;400.4;516.7
6063;23/02/2026;540.8;40.9;581.7
6015;10/02/2026;407.5;4.9;412.4
6027;05/02/2026;770.1;4.9;775
6027;07/02/2026;779;4.9;783.9
6027;21/02/2026;867.1;4.9;872
6033;24/02/2026;625.7;4.9;630.6
6036;16/02/2026;263.3;4.9;268.2
6038;11/02/2026;481.6;4.9;486.5
6039;04/02/2026;770.3;4.9;775.2
6039;07/02/2026;893.8;4.9;898.7
6039;23/02/2026;678.2;4.9;683.1
6043;03/02/2026;769.5;4.9;774.4
6043;13/02/2026;700.4;4.9;705.3
6043;19/02/2026;748.4;4.9;753.3
6043;23/02/2026;855.3;4.9;860.2
6045;14/02/2026;435.5;4.9;440.4
6047;07/02/2026;679.1;4.9;684
6047;13/02/2026;913.7;4.9;918.6
6047;25/02/2026;838.8;4.9;843.7
6066;08/02/2026;389.5;4.9;394.4
6067;07/02/2026;771.4;4.9;776.3
6078;19/02/2026;525.2;4.9;530.1
6079;23/02/2026;914.8;4.9;919.7
6096;16/02/2026;396.5;4.9;401.4
6103;26/02/2026;674.5;4.9;679.4
6109;11/02/2026;499.9;4.9;504.8
6116;14/02/2026;263.4;4.9;268.3
6119;12/02/2026;898.4;4.9;903.3
6124;13/02/2026;365;4.9;369.9
6125;20/02/2026;374.4;4.9;379.3
6147;04/02/2026;922.9;4.9;927.8
6157;20/02/2026;770.3;4.9;775.2
6159;14/02/2026;894.3;4.9;899.2
6159;19/02/2026;420.9;4.9;425.8
6165;06/02/2026;791.7;4.9;796.6
6175;17/02/2026;409.4;4.9;414.3
6178;18/02/2026;780.1;4.9;785
6199;28/02/2026;673;4.9;677.9
6209;01/02/2026;934.1;4.9;939
6229;26/02/2026;691.9;4.9;696.8
6239;16/02/2026;251.1;4.9;256
6245;13/02/2026;347;4.9;351.9
6254;05/02/2026;680.4;4.9;685.3
6265;28/02/2026;760;4.9;764.9
6285;20/02/2026;600.6;4.9;605.5
6304;27/02/2026;400.9;4.9;405.8
6305;02/02/2026;1038;4.9;1042.9
6305;05/02/2026;750.2;4.9;755.1
6015;17/02/2026;375.6;4.8;380.4
6027;03/02/2026;876.8;4.8;881.6
6029;11/02/2026;486.5;4.8;491.3
6036;02/02/2026;203.3;4.8;208.1
6043;09/02/2026;705;4.8;709.8
6043;14/02/2026;718.6;4.8;723.4
6045;06/02/2026;126.8;4.8;131.6
6045;19/02/2026;372.1;4.8;376.9
6046;06/02/2026;259.8;4.8;264.6
6046;08/02/2026;263.1;4.8;267.9
6047;23/02/2026;668.7;4.8;673.5
6048;10/02/2026;794.6;4.8;799.4
6059;02/02/2026;769.3;4.8;774.1
6079;24/02/2026;844.2;4.8;849
6098;16/02/2026;260.2;4.8;265
6098;21/02/2026;263.2;4.8;268
6108;26/02/2026;477.1;4.8;481.9
6116;24/02/2026;397;4.8;401.8
6119;11/02/2026;683.8;4.8;688.6
6119;13/02/2026;839.1;4.8;843.9
6126;07/02/2026;262.9;4.8;267.7
6136;04/02/2026;263.2;4.8;268
6146;18/02/2026;262.9;4.8;267.7
6149;05/02/2026;872.3;4.8;877.1
6157;10/02/2026;687.9;4.8;692.7
6159;23/02/2026;518.6;4.8;523.4
6175;26/02/2026;941.8;4.8;946.6
6178;24/02/2026;431.7;4.8;436.5
6225;23/02/2026;698.4;4.8;703.2
6229;10/02/2026;271.2;4.8;276
6244;20/02/2026;240.9;4.8;245.7
6248;22/02/2026;260;4.8;264.8
6249;09/02/2026;373.2;4.8;378
6275;24/02/2026;705.4;4.8;710.2
6295;24/02/2026;698.7;4.8;703.5
6305;27/02/2026;718;4.8;722.8
6325;03/02/2026;638;4.8;642.8
6325;13/02/2026;718.2;4.8;723
6335;15/02/2026;667.1;4.8;671.9
6355;12/02/2026;662.2;4.8;667
6355;28/02/2026;704.5;4.8;709.3
6023;04/02/2026;858.6;4.7;863.3
6025;15/02/2026;376.3;4.7;381
6026;26/02/2026;395.9;4.7;400.6
6027;19/02/2026;675.1;4.7;679.8
6043;07/02/2026;727.7;4.7;732.4
6066;16/02/2026;262.9;4.7;267.6
6067;02/02/2026;822.8;4.7;827.5
6068;16/02/2026;374.5;4.7;379.2
6069;09/02/2026;769;4.7;773.7
6073;24/02/2026;686.5;4.7;691.2
6079;08/02/2026;771.1;4.7;775.8
6089;21/02/2026;769.1;4.7;773.8
6097;09/02/2026;1032.7;4.7;1037.4
6097;16/02/2026;816;4.7;820.7
6103;02/02/2026;992.2;4.7;996.9
6103;28/02/2026;653.8;4.7;658.5
6128;06/02/2026;611.5;4.7;616.2
6135;08/02/2026;985.3;4.7;990
6137;15/02/2026;692.1;4.7;696.8
6137;28/02/2026;770.4;4.7;775.1
6146;22/02/2026;262.7;4.7;267.4
6156;21/02/2026;263.3;4.7;268
6159;22/02/2026;830.3;4.7;835
6165;18/02/2026;950.1;4.7;954.8
6169;26/02/2026;900.2;4.7;904.9
6179;09/02/2026;864.1;4.7;868.8
6185;05/02/2026;669.3;4.7;674
6195;07/02/2026;949.4;4.7;954.1
6195;21/02/2026;935.8;4.7;940.5
6199;23/02/2026;837.6;4.7;842.3
6205;18/02/2026;706.9;4.7;711.6
6208;09/02/2026;1104.8;4.7;1109.5
6224;27/02/2026;500.1;4.7;504.8
6228;11/02/2026;468.8;4.7;473.5
6238;27/02/2026;977.1;4.7;981.8
6239;08/02/2026;448.5;4.7;453.2
6239;12/02/2026;438;4.7;442.7
6245;07/02/2026;699.4;4.7;704.1
6249;08/02/2026;249.8;4.7;254.5
6255;10/02/2026;638.7;4.7;643.4
6269;11/02/2026;248.9;4.7;253.6
6285;02/02/2026;699.9;4.7;704.6
6285;08/02/2026;731.8;4.7;736.5
6285;19/02/2026;648.4;4.7;653.1
6295;11/02/2026;700.3;4.7;705
6335;09/02/2026;705.4;4.7;710.1
6335;12/02/2026;685.8;4.7;690.5
6345;17/02/2026;761.3;4.7;766
6345;20/02/2026;705.2;4.7;709.9
6355;07/02/2026;601.9;4.7;606.6
6014;22/02/2026;891.4;4.6;896
6027;12/02/2026;563.4;4.6;568
6028;27/02/2026;802.1;4.6;806.7
6028;28/02/2026;866.6;4.6;871.2
6033;12/02/2026;590.8;4.6;595.4
6039;01/02/2026;811.8;4.6;816.4
6043;05/02/2026;707.5;4.6;712.1
6043;28/02/2026;437.8;4.6;442.4
6056;26/02/2026;391.9;4.6;396.5
6058;14/02/2026;871.3;4.6;875.9
6066;03/02/2026;;4.6;4.6
6068;05/02/2026;440.7;4.6;445.3
6088;16/02/2026;263.2;4.6;267.8
